Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Pisano,675,France,Female,21,8,98373.26,1,Yes,No,0-20K,No
Konovalova,738,Germany,Male,58,2,133745.44,4,Yes,No,20-50K,Yes
McKee,813,France,Male,29,6,0.0,1,Yes,No,20-50K,No
Palermo,657,Spain,Female,37,0,163607.18,1,No,Yes,20-50K,No
Ballard,604,Germany,Female,25,5,157780.84,2,Yes,Yes,50-75K,No
Wallace,519,France,Male,36,9,0.0,2,No,Yes,50-75K,No
Cavenagh,735,France,Female,21,1,178718.19,2,Yes,No,20-50K,No
Hu,664,France,Male,55,8,0.0,2,Yes,Yes,50-75K,No
Read,678,France,Female,32,9,0.0,1,Yes,Yes,50-75K,No
Bushell,757,Spain,Male,33,5,77253.22,1,No,Yes,50-75K,No
Postle,416,Germany,Female,41,10,122189.66,2,Yes,No,50-75K,No
Buley,665,France,Female,34,1,96645.54,2,No,No,50-75K,No
Leonard,777,France,Female,32,2,0.0,1,Yes,No,50-75K,Yes
Mills,543,France,Female,36,3,0.0,2,No,No,20-50K,No
Onyeorulu,506,France,Female,34,4,90307.62,1,Yes,Yes,50-75K,No
Beit,493,France,Female,46,4,0.0,2,Yes,No,0-20K,No
Ndukaku,652,Spain,Female,75,10,0.0,2,Yes,Yes,50-75K,No
Gant,750,Spain,Male,22,3,121681.82,1,Yes,No,50-75K,Yes
Rowley,729,France,Male,30,9,0.0,2,Yes,No,50-75K,No
Sharpe,646,France,Female,46,4,0.0,3,Yes,No,50-75K,Yes
Osborne,635,Germany,Female,28,3,81623.67,2,Yes,Yes,50-75K,No
Heap,647,Spain,Female,44,5,0.0,3,Yes,Yes,50-75K,Yes
Ritchie,808,France,Male,45,7,118626.55,2,Yes,No,50-75K,No
Cole,524,France,Female,36,10,0.0,2,Yes,No,50-75K,No
Capon,769,France,Male,29,8,0.0,2,Yes,Yes,50-75K,No
Capon,730,Spain,Male,42,4,0.0,2,No,Yes,50-75K,No
Fiorentini,515,Spain,Male,35,10,176273.95,1,No,Yes,50-75K,No
Graham,773,Spain,Male,41,9,102827.44,1,No,Yes,50-75K,No
Yuille,814,Germany,Male,29,8,97086.4,2,Yes,Yes,50-75K,No
Allard,710,Spain,Male,22,8,0.0,2,No,No,50-75K,No
Fanucci,413,France,Male,34,9,0.0,2,No,No,0-20K,No
Fu,665,France,Female,40,6,0.0,1,Yes,Yes,50-75K,No
Hung,623,France,Female,44,6,0.0,2,No,No,50-75K,No
Hung,738,France,Male,31,9,82674.15,1,Yes,No,20-50K,No
Bradley,528,Spain,Male,36,7,0.0,2,Yes,No,50-75K,No
Dunbabin,670,Spain,Female,65,1,0.0,1,Yes,Yes,50-75K,Yes
Mauldon,622,Spain,Female,46,4,107073.27,2,Yes,Yes,20-50K,Yes
Stiger,582,Germany,Male,32,1,88938.62,1,Yes,Yes,0-20K,No
Parsons,785,Germany,Female,36,2,99806.85,1,No,Yes,20-50K,No
Walkom,605,Spain,Male,33,5,150092.8,1,No,No,50-75K,No
T'ang,479,Germany,Male,35,9,92833.89,1,Yes,No,50-75K,Yes
Eremenko,685,Germany,Male,30,3,90536.81,1,No,Yes,50-75K,No
Rowntree,538,Germany,Male,39,7,108055.1,2,Yes,No,20-50K,No
Thorpe,562,France,Male,42,2,100238.35,1,No,No,50-75K,No
Chiemela,675,Spain,Male,36,9,106190.55,1,No,Yes,20-50K,No
Fanucci,721,Germany,Male,28,9,154475.54,2,No,Yes,50-75K,Yes
Ko,628,Germany,Female,30,9,132351.29,2,Yes,Yes,50-75K,No
Welch,668,Germany,Female,37,6,167864.4,1,Yes,No,50-75K,No
Duncan,506,France,Female,41,1,0.0,2,Yes,No,20-50K,No
Chidozie,524,Germany,Female,31,8,107818.63,1,Yes,No,50-75K,Yes
Wu,699,Germany,Male,34,4,185173.81,2,Yes,No,50-75K,No
Culbreth,828,France,Male,34,8,129433.34,2,No,No,20-50K,No
Kennedy,674,Spain,Male,39,6,120193.42,1,No,No,50-75K,No
Cameron,656,France,Female,39,6,0.0,2,Yes,No,50-75K,No
Calabresi,684,Germany,Female,48,10,126384.42,1,Yes,Yes,50-75K,No
Zetticci,625,France,Female,28,3,0.0,1,No,No,50-75K,No
Fuller,432,France,Male,42,9,152603.45,1,Yes,No,50-75K,Yes
MacDonald,549,France,Female,52,1,0.0,1,No,Yes,0-20K,Yes
Piccio,625,Germany,Male,56,0,148507.24,1,Yes,No,20-50K,Yes
Kennedy,828,France,Female,41,7,0.0,2,Yes,No,50-75K,No
Fernie,770,France,Male,24,9,101827.07,1,Yes,No,50-75K,No
He,758,France,Female,34,3,0.0,2,Yes,Yes,50-75K,No
Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,Yes,Yes,50-75K,No
Cocci,687,France,Male,38,9,122570.87,1,Yes,Yes,20-50K,No
Alekseeva,686,France,Male,25,1,0.0,2,No,Yes,0-20K,No
Chinweike,789,Germany,Male,39,7,124828.46,2,Yes,Yes,50-75K,No
Arthur,589,Germany,Female,50,5,144895.05,2,Yes,Yes,20-50K,No
Li,461,Germany,Female,34,5,63663.93,1,No,Yes,50-75K,No
Ma,637,France,Male,40,2,133463.1,1,No,Yes,50-75K,No
Chia,584,Spain,Female,48,2,213146.2,1,Yes,No,50-75K,Yes
Vasin,579,Spain,Female,35,1,129490.36,2,No,Yes,0-20K,Yes
Groves,756,Germany,Male,44,10,137452.09,1,Yes,No,50-75K,No
Tien,663,France,Male,34,7,0.0,2,Yes,Yes,50-75K,No
Forwood,682,France,Female,43,5,125851.93,1,Yes,Yes,50-75K,No
Greeves,793,Spain,Male,52,2,0.0,1,Yes,No,50-75K,Yes
Taylor,691,France,Female,31,5,40915.55,1,Yes,No,50-75K,Yes
Madukwe,485,Spain,Female,21,5,113157.22,1,Yes,Yes,50-75K,No
Bennelong,635,Spain,Female,29,8,138296.94,2,Yes,No,50-75K,No
Olisanugo,650,France,Male,37,5,106967.18,1,No,No,20-50K,No
Chukwufumnanya,735,France,Male,44,9,120681.63,1,Yes,No,50-75K,No
Harris,416,France,Male,32,0,0.0,2,No,Yes,0-20K,No
Morgan,754,Spain,Female,32,7,0.0,2,Yes,No,50-75K,No
Alexeeva,535,France,Female,48,9,0.0,1,Yes,No,50-75K,Yes
Metcalfe,716,Spain,Male,42,8,0.0,2,Yes,No,50-75K,No
Humphries,539,France,Male,37,2,127609.59,1,Yes,No,50-75K,No
Milne,614,France,Female,43,6,0.0,2,Yes,Yes,50-75K,No
Chou,706,Spain,Male,57,7,0.0,1,Yes,No,0-20K,Yes
Li,758,France,Female,33,7,0.0,2,No,No,50-75K,No
Clayton,586,Spain,Female,28,2,0.0,2,Yes,Yes,50-75K,No
Maclean,646,France,Female,73,6,97259.25,1,No,Yes,50-75K,No
Chigolum,631,Germany,Female,33,4,123246.7,1,No,No,50-75K,No
Wilkinson,717,Spain,Female,22,6,101060.25,1,No,Yes,50-75K,No
Wei,684,France,Male,30,2,0.0,2,Yes,No,50-75K,No
Treacy,800,France,Female,49,7,108007.36,1,No,No,20-50K,No
Hu,721,Spain,Female,36,2,0.0,2,Yes,Yes,50-75K,No
Taverner,683,Spain,Male,29,0,133702.89,1,Yes,No,50-75K,Yes
Sherman,660,Germany,Male,31,9,125189.75,2,Yes,Yes,50-75K,No
Taubman,704,Germany,Female,24,7,113034.22,1,Yes,No,50-75K,Yes
Robinson,615,Spain,Female,41,9,109013.23,1,Yes,No,50-75K,No
Pinto,667,Spain,Female,39,2,0.0,2,Yes,No,20-50K,Yes
Wood,682,Germany,Male,24,9,57929.81,2,No,No,50-75K,No
Hawkins,484,France,Female,29,4,130114.39,1,Yes,No,50-75K,No
Sun,628,Germany,Male,27,5,95826.49,2,Yes,No,50-75K,No
Yost,480,Germany,Male,44,10,129608.57,1,Yes,No,0-20K,Yes
Ting,578,France,Male,30,4,169462.09,1,Yes,No,50-75K,No
Rowe,512,France,Male,40,5,0.0,2,Yes,Yes,50-75K,No
Fu,484,Spain,Female,35,7,133868.21,1,Yes,Yes,20-50K,No
Ho,510,France,Female,30,0,0.0,2,Yes,Yes,50-75K,No
Okechukwu,606,Germany,Male,36,5,190479.48,2,No,No,50-75K,No
Campbell,597,Spain,Female,40,8,101993.12,1,No,Yes,50-75K,No
Ashbolt,754,Germany,Female,55,3,161608.81,1,Yes,No,0-20K,Yes
Rozier,850,Spain,Female,45,2,122311.21,1,Yes,Yes,0-20K,No
Hsia,510,France,Male,65,2,0.0,2,Yes,Yes,20-50K,No
Ogbonnaya,778,Germany,Female,45,1,162150.42,2,Yes,No,50-75K,No
T'ang,636,France,Male,42,2,0.0,2,Yes,Yes,50-75K,No
Cocci,804,France,Female,50,4,0.0,1,Yes,Yes,0-20K,Yes
Chang,514,France,Male,32,8,0.0,2,Yes,No,50-75K,No
T'ao,730,France,Female,39,1,99010.67,1,Yes,No,50-75K,No
Ford,525,Spain,Female,37,0,0.0,1,No,Yes,50-75K,No
Marshall,616,Spain,Male,30,5,0.0,2,No,Yes,50-75K,No
Tsai,687,Germany,Female,34,7,111388.18,2,Yes,No,50-75K,No
Onwumelu,715,France,Female,41,8,56214.85,2,No,No,50-75K,Yes
Graham,512,France,Female,36,3,84327.77,2,Yes,No,0-20K,No
Golovanov,479,France,Male,40,1,0.0,2,No,No,50-75K,No
Potts,601,France,Male,32,8,93012.89,1,Yes,No,50-75K,No
Crawford,580,Spain,Male,29,9,61710.44,2,Yes,No,50-75K,No
Aleshire,807,France,Male,35,3,174790.15,1,Yes,Yes,0-20K,No
Moran,616,Spain,Female,32,6,0.0,2,Yes,Yes,20-50K,No
Samsonova,721,Germany,Male,37,3,107720.64,1,Yes,Yes,50-75K,No
Jenkins,501,France,Male,57,10,0.0,2,Yes,Yes,20-50K,No
Volkov,521,France,Male,35,6,96423.84,1,Yes,No,0-20K,No
Chiemezie,850,Spain,Male,30,2,141040.01,1,Yes,Yes,0-20K,No
Jude,759,France,Male,42,4,105420.18,1,No,Yes,50-75K,No
He,516,Spain,Male,50,5,0.0,1,No,Yes,50-75K,Yes
Onuora,711,France,Female,38,2,129022.06,2,Yes,Yes,0-20K,Yes
Ginikanwa,512,Spain,Male,33,3,176666.62,1,Yes,No,50-75K,No
Ku,550,France,Male,37,3,0.0,1,Yes,Yes,50-75K,No
McDonald,608,Spain,Female,41,3,89763.84,1,No,No,50-75K,Yes
Collins,618,France,Male,34,5,134954.53,1,Yes,Yes,50-75K,No
Hackett,643,France,Male,45,5,0.0,1,Yes,No,50-75K,Yes
Dike,671,France,Male,45,2,106376.85,1,No,Yes,50-75K,No
Trevisano,689,Germany,Male,33,2,161814.64,2,Yes,No,50-75K,No
Tan,603,France,Male,31,8,0.0,2,Yes,Yes,50-75K,No
Glassman,620,France,Female,41,9,0.0,2,No,No,50-75K,No
Miller,676,France,Female,34,1,63095.01,1,Yes,Yes,20-50K,No
Kornilova,572,Germany,Male,26,4,118287.01,2,No,No,50-75K,No
Watson,668,Germany,Male,47,7,106854.21,1,No,Yes,50-75K,Yes
Marchesi,695,France,Male,46,7,49512.55,1,Yes,No,50-75K,No
Millar,730,Spain,Female,33,9,0.0,2,No,No,50-75K,No
Shih,807,France,Male,43,1,105799.32,2,Yes,No,20-50K,Yes
Fuller,592,France,Male,54,8,0.0,1,Yes,Yes,20-50K,Yes
Hay,726,France,Female,31,9,114722.05,2,Yes,Yes,50-75K,No
Yang,514,Spain,Male,30,7,0.0,1,No,Yes,50-75K,No
McIntyre,567,France,Male,42,2,0.0,2,Yes,Yes,50-75K,No
Stevenson,850,France,Male,33,10,0.0,1,Yes,No,0-20K,Yes
Poole,671,Germany,Male,45,6,99564.22,1,Yes,Yes,50-75K,Yes
Bagley,670,France,Male,37,4,170557.91,2,Yes,No,50-75K,No
Ch'ien,694,France,Female,30,9,0.0,2,Yes,Yes,20-50K,No
Cattaneo,547,Germany,Female,39,6,74596.15,3,Yes,Yes,50-75K,Yes
O'Sullivan,751,Germany,Male,50,2,96888.39,1,Yes,No,50-75K,Yes
Lucas,594,Germany,Female,29,3,130830.22,1,Yes,No,50-75K,No
Ringrose,673,France,Male,72,1,0.0,2,No,Yes,50-75K,No
Freeman,610,France,Male,40,0,0.0,2,Yes,No,50-75K,No
Sergeyev,512,France,Female,37,1,0.0,2,No,Yes,50-75K,No
Fiore,767,Germany,Male,20,3,119714.25,2,No,Yes,50-75K,No
Smith,585,France,Female,67,5,113978.97,2,No,Yes,50-75K,No
Dumetochukwu,763,Germany,Male,42,6,100160.75,1,Yes,No,20-50K,Yes
Pacheco,712,France,Female,29,2,0.0,1,Yes,Yes,50-75K,No
Synnot,539,Germany,Female,43,3,116220.5,3,Yes,No,50-75K,Yes
Johnston,668,France,Female,46,2,0.0,3,Yes,No,50-75K,Yes
Stevens,703,France,Male,28,2,81173.83,2,No,Yes,50-75K,No
Grant,662,Spain,Male,38,4,0.0,2,Yes,No,50-75K,No
Tsao,725,Germany,Female,39,5,116803.8,1,Yes,No,50-75K,No
Barnes,703,France,Male,37,8,105961.68,2,No,Yes,50-75K,No
McIntosh,659,Germany,Male,67,6,117411.6,1,Yes,Yes,20-50K,Yes
Madison,523,Spain,Male,34,7,0.0,2,Yes,No,50-75K,No
Ifesinachi,635,France,Female,40,10,123497.58,1,Yes,No,50-75K,Yes
Glazkov,772,Germany,Male,26,7,152400.51,2,Yes,No,50-75K,No
Dimauro,545,France,Female,26,1,0.0,2,Yes,Yes,50-75K,No
Wieck,634,Germany,Male,24,8,103097.85,1,Yes,Yes,50-75K,No
Liao,739,Germany,Male,54,8,126418.14,1,Yes,No,50-75K,Yes
Hughes,771,Germany,Female,36,5,77846.9,1,No,No,50-75K,No
Morrison,587,Spain,Female,34,1,0.0,2,Yes,Yes,50-75K,No
Matveyeva,681,France,Female,79,0,0.0,2,No,Yes,50-75K,No
Ku,544,Germany,Male,37,2,79731.91,1,Yes,Yes,50-75K,No
Cheatham,696,Spain,Male,28,8,0.0,1,No,No,50-75K,No
Yao,766,Spain,Male,41,0,0.0,2,No,Yes,20-50K,No
Kirkland,727,France,Male,34,10,0.0,2,Yes,Yes,50-75K,No
Rose,671,Germany,Female,34,6,37266.67,2,No,No,50-75K,No
Jess,693,France,Female,30,6,127992.25,1,Yes,Yes,50-75K,No
Welch,850,Germany,Male,38,3,54901.01,1,Yes,Yes,50-75K,No
Ifeajuna,732,Germany,Male,42,9,108748.08,2,Yes,Yes,50-75K,No
Morton,726,Spain,Female,48,6,99906.19,1,Yes,No,50-75K,No
Rossi,557,France,Female,32,6,184686.41,2,Yes,No,0-20K,No
Reppert,682,France,Female,26,0,110654.02,1,No,Yes,50-75K,No
Kang,738,Spain,Male,31,9,79019.8,1,Yes,Yes,0-20K,No
Ch'iu,531,Spain,Female,36,9,99240.51,1,Yes,No,50-75K,No
Wallis,498,France,Male,34,2,0.0,2,Yes,Yes,50-75K,No
Clark,651,France,Male,36,7,0.0,2,Yes,No,0-20K,No
Fielding,549,Spain,Female,39,7,0.0,1,No,No,50-75K,Yes
Zetticci,791,Germany,Female,35,7,52436.2,1,Yes,No,50-75K,No
Dulhunty,650,Spain,Male,41,9,0.0,2,No,Yes,50-75K,No
Bevington,733,Germany,Male,34,3,100337.96,3,Yes,No,20-50K,Yes
Boyle,811,Germany,Female,34,1,149297.19,2,Yes,Yes,50-75K,No
Newton,707,France,Male,30,8,0.0,2,Yes,No,20-50K,No
Bowman,712,Germany,Male,28,4,145605.44,1,No,Yes,50-75K,No
Dubinina,706,Spain,Female,37,7,0.0,2,Yes,Yes,50-75K,No
Toscani,756,France,Male,62,3,0.0,1,Yes,Yes,0-20K,Yes
Chiazagomekpere,777,France,Female,53,10,0.0,2,Yes,No,50-75K,No
Allen,646,France,Male,35,6,84026.86,1,No,Yes,50-75K,No
K'ung,714,France,Male,46,1,0.0,1,Yes,No,50-75K,Yes
Wilsmore,782,France,Male,39,8,0.0,2,Yes,Yes,20-50K,No
Hargreaves,775,Spain,Male,29,10,0.0,2,Yes,Yes,50-75K,No
Huang,479,Germany,Male,35,4,138718.92,1,Yes,Yes,20-50K,Yes
Ch'ien,807,France,Male,42,7,118274.71,1,Yes,Yes,20-50K,No
Wallwork,799,France,Female,22,8,174185.98,2,No,Yes,50-75K,No
Chu,675,France,Male,40,7,113208.86,2,Yes,No,20-50K,No
Kang,602,Spain,Male,29,5,103907.28,1,Yes,No,50-75K,No
Davidson,475,France,Female,32,8,119023.28,1,Yes,No,50-75K,No
O'Donnell,744,Spain,Female,26,5,166297.89,1,Yes,Yes,50-75K,No
Nnachetam,588,Spain,Male,34,10,0.0,2,Yes,No,50-75K,No
Chidiebele,703,Germany,Male,42,9,63227.0,1,No,Yes,50-75K,No
Ahmed,747,Spain,Female,41,5,94521.17,2,Yes,No,50-75K,No
Booth,583,France,Male,27,7,0.0,2,Yes,No,50-75K,No
Chuang,750,Spain,Female,34,9,112822.26,1,No,No,50-75K,Yes
Shao,681,France,Male,38,3,0.0,2,Yes,Yes,50-75K,No
Tsao,773,France,Male,25,2,135903.33,1,Yes,No,50-75K,No
Tien,714,France,Female,31,4,125169.26,1,Yes,Yes,50-75K,No
Chang,687,Spain,Female,44,7,0.0,3,Yes,No,50-75K,Yes
Johnson,511,France,Male,58,0,149117.31,1,Yes,Yes,50-75K,No
French,627,France,Male,33,5,0.0,2,Yes,Yes,50-75K,No
Efremov,694,France,Female,31,10,0.0,2,Yes,No,50-75K,No
Hartley,616,Spain,Female,36,6,132311.71,1,No,No,0-20K,No
Calabrese,687,France,Male,35,8,0.0,2,Yes,No,0-20K,No
Chiu,712,France,Female,33,6,0.0,2,Yes,Yes,50-75K,No
Brennan,553,France,Male,33,4,118082.89,1,No,No,50-75K,No
Onwuatuegwu,667,France,Male,31,1,119266.69,1,Yes,Yes,20-50K,No
Hewitt,731,France,Male,43,2,0.0,1,Yes,Yes,50-75K,Yes
Shih,629,Germany,Male,35,7,156847.29,2,Yes,No,20-50K,No
Balashov,614,France,Male,50,4,137104.47,1,Yes,No,50-75K,Yes
Doyle,438,Germany,Male,31,8,78398.69,1,Yes,No,20-50K,No
Pokrovskii,652,France,Female,80,4,0.0,2,Yes,Yes,50-75K,No
Collins,729,Germany,Male,30,6,63669.42,1,Yes,No,50-75K,No
Russo,642,France,Male,38,3,0.0,2,No,No,50-75K,No
Skinner,806,Germany,Female,59,0,135296.33,1,Yes,No,50-75K,No
Robertson,744,Spain,Male,36,2,153804.44,1,Yes,Yes,50-75K,No
Atkinson,474,Spain,Male,37,3,0.0,2,No,No,50-75K,No
Doyle,559,France,Male,49,2,147069.78,1,Yes,No,50-75K,Yes
Ritchie,706,Spain,Male,42,9,0.0,2,Yes,Yes,20-50K,No
McEncroe,628,Spain,Female,22,3,0.0,1,Yes,No,50-75K,No
Pearson,429,France,Male,24,4,95741.75,1,Yes,No,20-50K,No
Gordon,525,Spain,Female,57,2,145965.33,1,Yes,Yes,50-75K,No
Ts'ai,680,France,Female,30,8,141441.75,1,Yes,Yes,0-20K,No
Lung,749,France,Male,40,1,139290.41,1,Yes,No,50-75K,Yes
Yuan,763,France,Female,31,4,0.0,2,No,No,50-75K,No
Pardey,734,France,Male,30,3,0.0,2,Yes,No,50-75K,No
Tai,716,France,Male,35,4,144428.87,1,Yes,No,50-75K,No
Scott,594,France,Male,35,2,0.0,2,Yes,No,50-75K,No
Hunter,644,France,Female,46,9,95441.27,1,Yes,No,50-75K,Yes
Mazzanti,671,Germany,Male,35,1,144848.74,1,Yes,Yes,50-75K,No
L?,664,Germany,Male,26,7,116244.14,2,Yes,Yes,50-75K,No
Beach,656,France,Male,50,7,0.0,2,No,Yes,50-75K,No
Hsieh,667,Spain,Female,40,1,146502.07,1,Yes,No,0-20K,No
Faulkner,663,Germany,Male,44,2,117028.6,2,No,Yes,50-75K,No
Knowles,584,Germany,Female,30,8,112013.81,1,Yes,No,50-75K,Yes
Day,626,Spain,Female,37,6,108269.37,1,Yes,No,0-20K,No
Hsueh,485,France,Male,29,7,182123.79,1,Yes,No,50-75K,Yes
Tsao,659,Germany,Female,32,3,150923.74,2,No,Yes,50-75K,No
Kennedy,649,France,Male,33,2,0.0,2,Yes,No,0-20K,No
Nwabugwu,805,Spain,Female,39,5,165272.13,1,Yes,No,0-20K,Yes
Young,716,Germany,Female,39,10,115301.31,1,Yes,No,20-50K,Yes
Kerr,642,Germany,Female,40,6,129502.49,2,No,Yes,50-75K,Yes
Tien,659,France,Male,31,4,118342.26,1,No,No,50-75K,No
Marrero,545,Spain,Female,47,5,0.0,2,Yes,Yes,20-50K,No
White,543,France,Male,22,8,0.0,2,No,No,50-75K,No
Pisano,718,France,Female,25,7,0.0,2,Yes,No,20-50K,No
Brown,840,France,Female,43,7,0.0,2,Yes,No,50-75K,No
Freeman,630,Germany,Female,34,9,106937.05,2,Yes,No,50-75K,No
Russell,643,Germany,Male,59,3,170331.37,1,Yes,Yes,20-50K,No
Seleznyov,654,Germany,Female,32,1,114510.85,1,Yes,Yes,50-75K,No
Yusupova,582,France,Male,39,5,0.0,2,Yes,Yes,50-75K,No
Foley,659,Spain,Male,32,3,107594.11,2,Yes,Yes,50-75K,No
Shih,762,Spain,Male,39,2,81273.13,1,Yes,Yes,0-20K,No
Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,Yes,No,50-75K,No
Power,670,Spain,Male,25,6,0.0,2,Yes,Yes,50-75K,No
Amos,613,France,Female,45,1,187841.99,2,Yes,Yes,50-75K,No
Reed,539,France,Male,30,0,0.0,2,Yes,No,50-75K,No
Simmons,850,Spain,Female,57,8,126776.3,2,Yes,Yes,50-75K,No
Ricci,522,Spain,Male,34,9,126436.29,1,Yes,No,50-75K,Yes
Yen,737,France,Male,41,1,101960.74,1,Yes,Yes,50-75K,No
Campbell,520,France,Male,58,3,0.0,2,No,Yes,20-50K,No
West,706,Spain,Male,28,3,0.0,2,No,Yes,50-75K,No
Robinson,643,Germany,Female,45,2,150842.93,1,No,Yes,0-20K,Yes
Bianchi,648,France,Female,50,9,102535.57,1,Yes,Yes,50-75K,No
Chen,443,Germany,Female,29,9,99027.61,2,Yes,No,0-20K,No
Madukaego,640,France,Male,68,9,0.0,2,Yes,Yes,50-75K,No
Ibrahimova,628,Spain,Female,33,3,0.0,1,Yes,Yes,50-75K,No
Nolan,540,Germany,Female,42,9,87271.41,2,Yes,No,50-75K,No
